Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Non-Failure,Temperature difference [K],Power [W],Strain [minNm]
M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,1,10.5,6951.590552213998,0.0
L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,1,10.5,6826.722716351999,138.89999999999998
L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,1,10.399999999999977,7749.387533706,247.0
L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,1,10.400000000000034,5927.5046521425,276.5
L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,1,10.5,5897.8166016,360.0
M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,1,10.5,6252.5547716625,460.9
L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,1,10.5,6917.703239496,593.6
L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,1,10.5,6428.264048577,643.2
M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,1,10.399999999999977,4992.639983331001,514.8000000000001
M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,1,10.5,5104.87861674,588.0
H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,1,10.5,4459.993421499,573.5999999999999
H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,1,10.5,6601.4181634695,1284.6999999999998
M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,1,10.5,7165.229324389501,1737.4
M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,1,10.599999999999966,5472.6543962999995,1110.0
L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,1,10.599999999999966,4176.85214793,784.0
L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,1,10.599999999999966,7815.528530964,2032.8
M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,1,10.599999999999966,6397.6021043129995,2050.4
M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,1,10.5,6733.06136748,2143.2000000000003
H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,1,10.399999999999977,7453.6380016349995,2725.0
M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,1,10.400000000000034,5554.3358052,1787.5
H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,1,10.400000000000034,6148.358615437501,2476.6000000000004
L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,1,10.5,6802.595284799999,2822.3999999999996
M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,1,10.400000000000034,5082.751332508499,1995.5
L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,1,10.399999999999977,4731.301362753,1747.6
M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,1,10.399999999999977,6097.339150801499,2611.0
L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,1,10.5,4540.7847124815,1700.9
L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,1,10.399999999999977,6175.11451284,2925.0
H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,1,10.299999999999955,4665.327917103001,1894.2
L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,1,10.299999999999955,6660.574353069001,3624.4
L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,1,10.399999999999977,5336.4454109715,2528.4
M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,1,10.399999999999977,6758.592043749,4145.2
L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,1,10.399999999999977,4801.296046995,2269.5
L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,1,10.399999999999977,7177.2511522634995,4395.3
L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,1,10.400000000000034,5666.6477424375,3022.5
